	Номенклатура	Входит в группу	Штрихкод	Shsh
6787	Ребрышки Деликатесные (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113639	Y
6788	Свинина по-карски (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113640	Y
6789	Стейк свиной гриль (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113641	Y
6790	Жаркое пряное (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113642	Y
6791	Шашлык Фирменный Гриль, (Шашлычный дом), 220/30г, шт	200.32 Проект Шашлычный Дом	2000000394541	Y
6792	Шашлык Классический Гриль, (Шашлычный дом), 210/30г, шт	200.32 Проект Шашлычный Дом	2000000394558	Y
6793	Шашлык Особый Гриль, (Шашлычный дом), 220/30г, шт	200.32 Проект Шашлычный Дом	2000000394565	Y
6794	Крылья куриные в маринаде Чилли - Вилли (Шашлычный дом), 220гр шт	200.32 Проект Шашлычный Дом	2000000394572	Y
6795	Шампиньоны запеченные на мангале (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113643	Y
6796	Перец запеченный на мангале (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113644	Y
6797	Цуккини запеченный на мангале (Шашлычный дом), вес	200.32 Проект Шашлычный Дом	2113645	Y
7257	Брикеты Грифон древесноугольные 1,5 кг, шт	Шашлычный инвентарь	2000000402314	Y
7258	Брикеты Грифон древесноугольные 1,5 кг, шт	Шашлычный инвентарь	4600766500408	Y
7259	Роллы для розжига Грифон, 2шт	Шашлычный инвентарь	2000000402321	Y
7260	Роллы для розжига Грифон, 2шт	Шашлычный инвентарь	4607696001333	Y
7261	Роллы для розжига Грифон, 5шт	Шашлычный инвентарь	2000000402338	Y
7262	Роллы для розжига Грифон, 5шт	Шашлычный инвентарь	4607696001340	Y
7263	Мангал Грифон стальной 35*24*30см, шт	Шашлычный инвентарь	2000000402345	Y
7264	Мангал Грифон стальной 35*24*30см, шт	Шашлычный инвентарь	4607696010014	Y
7265	Решетка Грифон глубокая 31*24*5,5см, шт	Шашлычный инвентарь	2000000402352	Y
7266	Решетка Грифон глубокая 31*24*5,5см, шт	Шашлычный инвентарь	4607696000039	Y
7267	Шампуры Грифон деревянные ECO, 16шт	Шашлычный инвентарь	2000000402369	Y
7268	Шампуры Грифон деревянные ECO, 16шт	Шашлычный инвентарь	4607696500164	Y
7269	Опахало для костра Грифон, шт	Шашлычный инвентарь	2000000402376	Y
7270	Опахало для костра Грифон, шт	Шашлычный инвентарь	4607696000299	Y
7271	Уголь Потенциал 1,7кг (14л), шт	Шашлычный инвентарь	2000000402383	Y
7272	Уголь Потенциал 1,7кг (14л), шт	Шашлычный инвентарь	4607009065557	Y
7279	Шашлык по-азиатски (Гриль), вес	200.07 Гриль (Шашлык на шпажке)	2113829	Y
7294	Шашлык в лимонно-имбирном маринаде Гриль, вес	200.07 Гриль (Шашлык на шпажке)	2113835	Y
7295	Шашлык в маринаде Гранатовый  Гриль, вес	200.07 Гриль (Шашлык на шпажке)	2113836	Y
7331	Шашлык из окорока в красном маринаде Гриль, вес	200.07 Гриль (Шашлык на шпажке)	2113860	Y
7332	Шашлык из окорока в маринаде сливочно-пряный Гриль, вес	200.07 Гриль (Шашлык на шпажке)	2113861	Y
